score,description,group,weight
CancelledCustomer,Score weight for cancelled customer,CancelledGroup,1
NewCustomer,Score weight for new customer,NewCustomerGroup,1
HighRiskCustomerDiscrete,Score weight for high risk customer,HighRiskGroup,5
CustomerFromHighRiskCountry,Score weight for high risk country customer,HighRiskCountryGroup,5
CustomerAddressInLowValuePostcode,Score weight for customer address in low value postcode,LowValuePostcodeGroup,5
CR100_CustomerRollupHighNumberOfRoundAmount,CustomerRollupHighNumberOfRoundAmount,RoundAmountGroup,13
CR103_CustomerRollupUnusuallyHighDayVolume,CustomerRollupUnusuallyHighDayVolume,UnusualVolumeGroup,8
CR101_CustomerRollupHighToLowRiskCountry,CustomerRollupHighToLowRiskCountry,HighToLowRiskCountryGroup,10
CR102_CustomerRollupUnusualCounterpartyCountryForCustomer,CustomerRollupUnusualCounterpartyCountryForCustomer,RollupTransactionCountryGroup,12
CR104_CustomerRollupUnusualBeneficiaryCountryForCustomer,CustomerRollupUnusualBeneficiaryCountryForCustomer,RollupTransactionCountryGroup,12
CR105_CustomerRollupUnusualOriginatingCountryForCustomer,CustomerRollupUnusualOriginatingCountryForCustomer,RollupTransactionCountryGroup,14
