postcode,price
SK58PA,79553.44068
TS37AL,90704.41421
TS68DE,82111.31824
TS67QY,68005.7295
CF53UH,79710.97115
WF105SD,86686.7865
WS117WT,72185.22686
NE615NY,40321.99453
SA732DL,46602.54003
DH79AJ,68296.69524
DL178AT,67875.37076
DN163DX,67068.65231
LL143DH,77030.55328
M314LP,77970.0528
S123DE,91292.87031
WF149DT,96773.06046
SA12NJ,75056.35386
S756GG,95609.59848
OL146SQ,93502.05166
PL14GN,69808.27218
S138TS,98421.42642
L353TF,65822.7493
ST33LY,81555.63798
ST56EX,70328.68218
S57SQ,74051.88834
CH663JH,94225.18902
IP29LX,85283.29823
NE84EQ,96623.05553
NE83UJ,73032.16436
WF169NA,85737.54151
BL13QW,54190.6785
DH46RL,73165.4692
NG69EH,87920.08239
NG69EW,84171.07324
YO164PW,70251.93842
NG68JW,78258.91214
CH422AS,71691.97691
SK58DF,76716.73018
SS164AE,91806.92128
S141GD,50532.22438
TS285BX,71193.73212
B95DL,89929.98306
M241TF,55263.19418
OL98DJ,81585.17921
SK118SG,96390.85368
SA623PP,92093.33318
BS31ST,99975
DL179JE,95775.53255
S753JH,69503.13513
ST66AX,71667.55968
BB55DD,71303.8765
HD46BJ,80723.53248
CH425LJ,75712.00347
CH424PF,85188.55041
SR46QH,61144.06748
SR49DT,58191.01282
SR48JD,94525.257
HU69BY,58846.46429
LE111BB,60274.35913
M74BW,98059.56418
TQ33RN,61089.33654
TQ33UP,94367.99762
HU74AG,99268.69528
NE61QZ,51486.61871
NE95PJ,90401.67271
S366FT,96652.87652
L50BD,79405.49202
L56PF,69775.88485
NE297HT,95261.00819
WF32FT,84578.75
DN331NU,55132.50181
PE252PA,63874.60843
CB113GR,68000
WA27PT,92495.16202
WA35HT,50421.20555
BB31BN,46858.67275
OL14RP,82890.61822
S667PE,72776.68908
WF110HR,90141.91952
CF446EH,49915.85415
L209BW,81835.98953
L204UJ,65453.28017
L305RY,44000
CF465AE,59340.1917
CF465DA,84261.24368
CF465LS,92375.12334
OL79PB,97564.33087
WN24DH,74322.6902
OL158PS,50000
M242FF,92113.38961
S651HE,68474.56123
ST46NQ,98341.83359
SA79JQ,95720.94604
LE42FT,81728.98251
LS110JR,81800.67925
TF28EW,94636.07774
WS107PY,93010.8228
L200DT,88933.57303
HG29BJ,99796.39573
M66AQ,70348.41564
TS68BD,86680.52624
M278RS,68605.43379
SA132UH,70868.05352
NE238DT,92145.80841
PE244HA,90248.91378
CM71FD,94431.0157
CA141XD,65127.22452
CA142TL,95734.5306
CH658BF,79746.74857
DL79HW,99485.23672
LL207SG,91661.31064
NE296RB,40018.68562
LL574UH,80000
LL260YP,85000
M297QX,86393.76121
ST42AT,65507.79384
NP132NJ,55523.88678
CF440AS,94302.38584
CF448EE,82030.88005
CF466UB,52016.77848
LA144AS,52451.16138
TN62NU,74237.65466
BS233ES,83296.13692
B323SE,98461.63467
NE126GP,77307.23065
DY52EZ,99616.31853
M264PL,86073.80893
LN13UX,83930.313
S654EN,94111.56853
SY107TJ,69995
HU68AS,72788.33539
BD182NX,74900.93093
CH446LZ,76255.16333
CA289SJ,82887.93132
DN162DQ,87322.86139
WF177JS,79011.17861
M405QQ,85035.89392
CH421PT,92581.49851
LN121EE,37742.36112
M297AT,93244.97775
TS69HE,40276.64794
DN123HJ,62942.20629
DE554LW,97494.43973
DL78PD,31594.7339
SA175TA,90000
BL13UL,70000
MK137BG,65275.85557
HU69RF,74815.06407
DL179NQ,86709.49593
NE243UR,84636.32432
LL401NB,45280.71533
OL120PH,32726.80145
TA65JU,83770
CH468UT,82407.81811
CT118PF,72477.40052
CT118DR,95047.75195
NE425DS,95199.89903
NG208NH,91826.5357
S612JE,94388.36753
TD151PY,89880.11687
TN376PB,90040.2957
